YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2024,1,AK,Total Electric Power Industry,Total,"624,613"
2024,1,AK,Total Electric Power Industry,Coal,"70,392"
2024,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"115,374"
2024,1,AK,Total Electric Power Industry,Natural Gas,"341,678"
2024,1,AK,Total Electric Power Industry,Other,-178
2024,1,AK,Total Electric Power Industry,Petroleum,"81,148"
2024,1,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,698
2024,1,AK,Total Electric Power Industry,Other Biomass,"4,146"
2024,1,AK,Total Electric Power Industry,Wind,"11,355"
2024,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2024,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,987"
2024,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,666"
2024,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"3,321"
2024,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,0
2024,1,AK,"Combined Heat and Power, Commercial Power",Total,"30,588"
2024,1,AK,"Combined Heat and Power, Commercial Power",Coal,"13,218"
2024,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"12,729"
2024,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,1
2024,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,495
2024,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"4,146"
2024,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2024,1,AK,"Combined Heat and Power, Electric Power",Total,"12,002"
2024,1,AK,"Combined Heat and Power, Electric Power",Coal,"12,002"
2024,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2024,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2024,1,AK,"Electric Generators, Independent Power Producers",Total,"5,136"
2024,1,AK,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,616
2024,1,AK,"Electric Generators, Independent Power Producers",Wind,"4,520"
2024,1,AK,"Electric Generators, Electric Utilities",Total,"566,900"
2024,1,AK,"Electric Generators, Electric Utilities",Coal,"45,172"
2024,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"102,645"
2024,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"335,011"
2024,1,AK,"Electric Generators, Electric Utilities",Other,-178
2024,1,AK,"Electric Generators, Electric Utilities",Petroleum,"77,332"
2024,1,AK,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,82
2024,1,AK,"Electric Generators, Electric Utilities",Wind,"6,835"
2024,1,AL,Total Electric Power Industry,Total,"12,879,429"
2024,1,AL,Total Electric Power Industry,Coal,"1,807,929"
2024,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,219,564"
2024,1,AL,Total Electric Power Industry,Natural Gas,"5,583,817"
2024,1,AL,Total Electric Power Industry,Nuclear,"3,942,954"
2024,1,AL,Total Electric Power Industry,Other Gases,0
2024,1,AL,Total Electric Power Industry,Other,0
2024,1,AL,Total Electric Power Industry,Petroleum,"4,554"
2024,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"59,137"
2024,1,AL,Total Electric Power Industry,Other Biomass,"3,758"
2024,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"257,717"
2024,1,AL,"Combined Heat and Power, Industrial Power",Total,"397,017"
2024,1,AL,"Combined Heat and Power, Industrial Power",Coal,0
2024,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"138,999"
2024,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,0
2024,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2024,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,301
2024,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2024,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"257,717"
2024,1,AL,"Combined Heat and Power, Electric Power",Total,"545,073"
2024,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"545,073"
2024,1,AL,"Electric Generators, Independent Power Producers",Total,"2,805,973"
2024,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"2,744,265"
