date,state,sex,age,ethnicity,population
1991-01-01,Malaysia,overall_sex,overall_age,overall_ethnicity,18547.2
1991-01-01,Malaysia,female,80-84,bumi_malay,17.9
1991-01-01,Malaysia,female,75-79,other_noncitizen,1.1
1991-01-01,Malaysia,female,75-79,other_citizen,0.5
1991-01-01,Malaysia,female,75-79,indian,3.4
1991-01-01,Malaysia,female,75-79,chinese,27.1
1991-01-01,Malaysia,female,75-79,bumi_other,3.7
1991-01-01,Malaysia,female,75-79,bumi_malay,20.4
1991-01-01,Malaysia,female,70-74,other_noncitizen,1.9
1991-01-01,Malaysia,female,70-74,other_citizen,0.9
1991-01-01,Malaysia,female,70-74,indian,6.0
1991-01-01,Malaysia,female,70-74,chinese,36.3
1991-01-01,Malaysia,female,70-74,bumi_other,7.8
1991-01-01,Malaysia,female,70-74,bumi_malay,44.7
1991-01-01,Malaysia,female,65-69,other_noncitizen,1.9
1991-01-01,Malaysia,female,65-69,other_citizen,1.0
1991-01-01,Malaysia,female,65-69,indian,9.3
1991-01-01,Malaysia,female,65-69,chinese,47.3
1991-01-01,Malaysia,female,65-69,bumi_other,12.3
1991-01-01,Malaysia,female,65-69,bumi_malay,67.1
1991-01-01,Malaysia,female,80-84,bumi_other,2.5
1991-01-01,Malaysia,female,60-64,other_noncitizen,3.7
1991-01-01,Malaysia,female,80-84,chinese,17.9
1991-01-01,Malaysia,female,80-84,other_citizen,0.3
1991-01-01,Malaysia,male,10-14,other_noncitizen,22.6
1991-01-01,Malaysia,male,10-14,other_citizen,12.1
1991-01-01,Malaysia,male,10-14,indian,79.3
1991-01-01,Malaysia,male,10-14,chinese,276.2
1991-01-01,Malaysia,male,10-14,bumi_other,115.9
1991-01-01,Malaysia,male,10-14,bumi_malay,532.6
1991-01-01,Malaysia,male,0-4,other_noncitizen,38.5
1991-01-01,Malaysia,male,0-4,other_citizen,17.1
1991-01-01,Malaysia,male,0-4,indian,87.0
1991-01-01,Malaysia,male,0-4,chinese,265.0
1991-01-01,Malaysia,male,0-4,bumi_other,145.5
1991-01-01,Malaysia,male,0-4,bumi_malay,737.3
1991-01-01,Malaysia,female,85+,other_noncitizen,0.6
1991-01-01,Malaysia,female,85+,other_citizen,0.2
1991-01-01,Malaysia,female,85+,indian,0.9
1991-01-01,Malaysia,female,85+,chinese,10.7
1991-01-01,Malaysia,female,85+,bumi_other,1.9
1991-01-01,Malaysia,female,85+,bumi_malay,12.6
1991-01-01,Malaysia,female,80-84,other_noncitizen,0.8
1991-01-01,Malaysia,female,80-84,indian,1.9
1991-01-01,Malaysia,female,60-64,other_citizen,1.4
1991-01-01,Malaysia,female,60-64,indian,13.6
1991-01-01,Malaysia,female,60-64,chinese,62.0
1991-01-01,Malaysia,female,45-49,bumi_other,30.7
1991-01-01,Malaysia,female,45-49,bumi_malay,161.9
1991-01-01,Malaysia,female,40-44,other_noncitizen,14.2
1991-01-01,Malaysia,female,40-44,other_citizen,4.7
1991-01-01,Malaysia,female,40-44,indian,39.5
1991-01-01,Malaysia,female,40-44,chinese,156.5
1991-01-01,Malaysia,female,40-44,bumi_other,36.8
1991-01-01,Malaysia,female,40-44,bumi_malay,217.2
1991-01-01,Malaysia,female,35-39,other_noncitizen,23.2
1991-01-01,Malaysia,female,35-39,other_citizen,6.1
1991-01-01,Malaysia,female,35-39,indian,51.9
1991-01-01,Malaysia,female,35-39,chinese,186.0
1991-01-01,Malaysia,female,35-39,bumi_other,46.8
1991-01-01,Malaysia,female,35-39,bumi_malay,281.3
1991-01-01,Malaysia,female,30-34,other_noncitizen,35.7
1991-01-01,Malaysia,female,30-34,other_citizen,7.0
1991-01-01,Malaysia,female,30-34,indian,62.5
1991-01-01,Malaysia,female,30-34,chinese,207.3
1991-01-01,Malaysia,female,30-34,bumi_other,62.5
1991-01-01,Malaysia,female,45-49,chinese,118.7
1991-01-01,Malaysia,female,45-49,indian,25.9
1991-01-01,Malaysia,female,45-49,other_citizen,3.7
1991-01-01,Malaysia,female,45-49,other_noncitizen,9.0
1991-01-01,Malaysia,female,60-64,bumi_other,17.0
1991-01-01,Malaysia,female,60-64,bumi_malay,92.0
1991-01-01,Malaysia,female,55-59,other_noncitizen,4.0
1991-01-01,Malaysia,female,55-59,other_citizen,1.9
1991-01-01,Malaysia,female,55-59,indian,18.4
1991-01-01,Malaysia,female,55-59,chinese,80.5
1991-01-01,Malaysia,female,55-59,bumi_other,21.7
1991-01-01,Malaysia,female,55-59,bumi_malay,117.2
1991-01-01,Malaysia,female,50-54,other_noncitizen,7.3
1991-01-01,Malaysia,male,15-19,bumi_malay,448.6
1991-01-01,Malaysia,female,50-54,other_citizen,2.6
1991-01-01,Malaysia,female,50-54,chinese,101.1
1991-01-01,Malaysia,female,50-54,bumi_other,26.1
1991-01-01,Malaysia,female,50-54,bumi_malay,139.7
1991-01-01,Malaysia,female,5-9,other_noncitizen,29.0
1991-01-01,Malaysia,female,5-9,other_citizen,13.7
1991-01-01,Malaysia,female,5-9,indian,80.3
1991-01-01,Malaysia,female,5-9,chinese,262.3
1991-01-01,Malaysia,female,5-9,bumi_other,126.5
1991-01-01,Malaysia,female,5-9,bumi_malay,637.9
1991-01-01,Malaysia,female,50-54,indian,22.4
1991-01-01,Malaysia,male,15-19,bumi_other,103.4
1991-01-01,Malaysia,male,15-19,chinese,252.1
1991-01-01,Malaysia,male,15-19,indian,70.6
1991-01-01,Malaysia,male,65-69,indian,10.9
1991-01-01,Malaysia,male,65-69,chinese,38.0
1991-01-01,Malaysia,male,65-69,bumi_other,12.6
1991-01-01,Malaysia,male,65-69,bumi_malay,62.0
1991-01-01,Malaysia,male,60-64,other_noncitizen,5.1
1991-01-01,Malaysia,male,60-64,other_citizen,1.6
1991-01-01,Malaysia,male,60-64,indian,14.9
1991-01-01,Malaysia,male,60-64,chinese,56.9
1991-01-01,Malaysia,male,60-64,bumi_other,17.3
1991-01-01,Malaysia,male,60-64,bumi_malay,85.4
1991-01-01,Malaysia,male,55-59,other_noncitizen,6.6
1991-01-01,Malaysia,male,55-59,other_citizen,2.0
1991-01-01,Malaysia,male,55-59,indian,18.7
1991-01-01,Malaysia,male,55-59,chinese,82.6
1991-01-01,Malaysia,male,55-59,bumi_other,22.2
1991-01-01,Malaysia,male,55-59,bumi_malay,111.2
1991-01-01,Malaysia,male,50-54,other_noncitizen,11.6
1991-01-01,Malaysia,male,50-54,other_citizen,2.9
1991-01-01,Malaysia,male,50-54,indian,22.2
1991-01-01,Malaysia,male,65-69,other_citizen,1.2
1991-01-01,Malaysia,male,65-69,other_noncitizen,2.6
1991-01-01,Malaysia,male,70-74,bumi_malay,41.6
1991-01-01,Malaysia,male,70-74,bumi_other,8.1
1991-01-01,Malaysia,male,85+,indian,1.2
1991-01-01,Malaysia,male,85+,chinese,7.0
1991-01-01,Malaysia,male,85+,bumi_other,1.4
1991-01-01,Malaysia,male,85+,bumi_malay,8.4
1991-01-01,Malaysia,male,80-84,other_noncitizen,0.6
1991-01-01,Malaysia,male,80-84,other_citizen,0.4
1991-01-01,Malaysia,male,80-84,indian,2.1
1991-01-01,Malaysia,male,80-84,chinese,12.8
1991-01-01,Malaysia,male,80-84,bumi_other,2.1
1991-01-01,Malaysia,male,50-54,chinese,110.5
1991-01-01,Malaysia,male,80-84,bumi_malay,13.6
1991-01-01,Malaysia,male,75-79,other_citizen,0.6
1991-01-01,Malaysia,male,75-79,indian,4.2
1991-01-01,Malaysia,male,75-79,chinese,20.8
1991-01-01,Malaysia,male,75-79,bumi_other,4.0
1991-01-01,Malaysia,male,75-79,bumi_malay,21.0
1991-01-01,Malaysia,male,70-74,other_noncitizen,1.8
1991-01-01,Malaysia,male,70-74,other_citizen,0.9
1991-01-01,Malaysia,male,70-74,indian,7.3
1991-01-01,Malaysia,male,70-74,chinese,26.1
1991-01-01,Malaysia,male,75-79,other_noncitizen,1.2
1991-01-01,Malaysia,female,30-34,bumi_malay,343.2
1991-01-01,Malaysia,male,50-54,bumi_other,27.0
1991-01-01,Malaysia,male,5-9,other_noncitizen,32.1
1991-01-01,Malaysia,male,30-34,other_citizen,5.9
1991-01-01,Malaysia,male,30-34,indian,61.9
1991-01-01,Malaysia,male,30-34,chinese,207.9
1991-01-01,Malaysia,male,30-34,bumi_other,64.8
1991-01-01,Malaysia,male,30-34,bumi_malay,338.1
1991-01-01,Malaysia,male,25-29,other_noncitizen,87.5
1991-01-01,Malaysia,male,25-29,other_citizen,5.7
1991-01-01,Malaysia,male,25-29,indian,64.0
1991-01-01,Malaysia,male,25-29,chinese,207.7
1991-01-01,Malaysia,male,25-29,bumi_other,79.9
1991-01-01,Malaysia,male,25-29,bumi_malay,373.0
1991-01-01,Malaysia,male,20-24,other_noncitizen,82.6
1991-01-01,Malaysia,male,20-24,other_citizen,7.0
1991-01-01,Malaysia,male,20-24,indian,63.2
1991-01-01,Malaysia,male,20-24,chinese,209.3
1991-01-01,Malaysia,male,20-24,bumi_other,92.0
1991-01-01,Malaysia,male,20-24,bumi_malay,392.8
1991-01-01,Malaysia,male,15-19,other_noncitizen,42.4
1991-01-01,Malaysia,male,15-19,other_citizen,9.8
1991-01-01,Malaysia,male,30-34,other_noncitizen,60.3
1991-01-01,Malaysia,male,35-39,bumi_malay,282.9
1991-01-01,Malaysia,male,35-39,bumi_other,49.8
1991-01-01,Malaysia,male,35-39,chinese,192.3
1991-01-01,Malaysia,male,5-9,other_citizen,14.5
1991-01-01,Malaysia,male,overall_age,overall_ethnicity,9416.5
1991-01-01,Malaysia,male,5-9,chinese,280.6
1991-01-01,Malaysia,male,5-9,bumi_other,134.2
1991-01-01,Malaysia,male,5-9,bumi_malay,667.6
1991-01-01,Malaysia,male,45-49,other_noncitizen,15.5
1991-01-01,Malaysia,male,45-49,other_citizen,4.9
1991-01-01,Malaysia,male,45-49,indian,25.9
1991-01-01,Malaysia,male,45-49,chinese,131.3
1991-01-01,Malaysia,male,50-54,bumi_malay,137.5
1991-01-01,Malaysia,male,45-49,bumi_other,31.8
1991-01-01,Malaysia,male,40-44,other_noncitizen,23.9
1991-01-01,Malaysia,male,40-44,other_citizen,5.8
1991-01-01,Malaysia,male,40-44,indian,40.1
1991-01-01,Malaysia,male,40-44,chinese,168.0
1991-01-01,Malaysia,male,40-44,bumi_other,38.4
1991-01-01,Malaysia,male,40-44,bumi_malay,220.6
1991-01-01,Malaysia,male,35-39,other_noncitizen,37.6
1991-01-01,Malaysia,male,35-39,other_citizen,5.6
1991-01-01,Malaysia,male,35-39,indian,51.7
1991-01-01,Malaysia,male,45-49,bumi_malay,165.8
1991-01-01,Malaysia,male,85+,other_citizen,0.2
1991-01-01,Malaysia,female,25-29,other_noncitizen,54.9
1991-01-01,Malaysia,female,25-29,indian,66.8
1991-01-01,Malaysia,overall_sex,75-79,bumi_malay,41.4
1991-01-01,Malaysia,overall_sex,75-79,bumi_other,7.7
1991-01-01,Malaysia,overall_sex,75-79,chinese,47.900000000000006
1991-01-01,Malaysia,overall_sex,75-79,indian,7.6
1991-01-01,Malaysia,overall_sex,75-79,other_citizen,1.1
1991-01-01,Malaysia,overall_sex,75-79,other_noncitizen,2.3
1991-01-01,Malaysia,overall_sex,80-84,bumi_malay,31.5
1991-01-01,Malaysia,overall_sex,80-84,bumi_other,4.6
1991-01-01,Malaysia,overall_sex,80-84,chinese,30.7
1991-01-01,Malaysia,overall_sex,80-84,indian,4.0
1991-01-01,Malaysia,overall_sex,80-84,other_citizen,0.7
1991-01-01,Malaysia,overall_sex,80-84,other_noncitizen,1.4
1991-01-01,Malaysia,overall_sex,85+,bumi_malay,21.0
1991-01-01,Malaysia,overall_sex,85+,bumi_other,3.3
1991-01-01,Malaysia,overall_sex,85+,chinese,17.7
1991-01-01,Malaysia,overall_sex,85+,indian,2.1
1991-01-01,Malaysia,overall_sex,85+,other_citizen,0.4
1991-01-01,Malaysia,overall_sex,85+,other_noncitizen,1.0
1991-01-01,Malaysia,male,85+,overall_ethnicity,18.7
1991-01-01,Malaysia,overall_sex,70-74,other_noncitizen,3.7
1991-01-01,Malaysia,male,80-84,overall_ethnicity,31.5
1991-01-01,Malaysia,overall_sex,70-74,other_citizen,1.8
1991-01-01,Malaysia,overall_sex,70-74,chinese,62.4
1991-01-01,Malaysia,overall_sex,55-59,bumi_other,43.9
1991-01-01,Malaysia,overall_sex,55-59,chinese,163.1
1991-01-01,Malaysia,overall_sex,55-59,indian,37.099999999999994
1991-01-01,Malaysia,overall_sex,55-59,other_citizen,3.9
1991-01-01,Malaysia,overall_sex,55-59,other_noncitizen,10.6
1991-01-01,Malaysia,overall_sex,60-64,bumi_malay,177.4
1991-01-01,Malaysia,overall_sex,60-64,bumi_other,34.3
1991-01-01,Malaysia,overall_sex,60-64,chinese,118.9
1991-01-01,Malaysia,overall_sex,60-64,indian,28.5
1991-01-01,Malaysia,overall_sex,60-64,other_citizen,3.0
1991-01-01,Malaysia,overall_sex,60-64,other_noncitizen,8.8
1991-01-01,Malaysia,overall_sex,65-69,bumi_malay,129.1
1991-01-01,Malaysia,overall_sex,65-69,bumi_other,24.9
1991-01-01,Malaysia,overall_sex,65-69,chinese,85.3
1991-01-01,Malaysia,overall_sex,65-69,indian,20.200000000000003
1991-01-01,Malaysia,overall_sex,65-69,other_citizen,2.2
1991-01-01,Malaysia,overall_sex,65-69,other_noncitizen,4.5
1991-01-01,Malaysia,overall_sex,70-74,bumi_malay,86.30000000000001
1991-01-01,Malaysia,overall_sex,70-74,bumi_other,15.899999999999999
1991-01-01,Malaysia,overall_sex,70-74,indian,13.3
1991-01-01,Malaysia,male,75-79,overall_ethnicity,51.7
1991-01-01,Malaysia,male,70-74,overall_ethnicity,85.9
1991-01-01,Malaysia,male,65-69,overall_ethnicity,127.3
1991-01-01,Malaysia,female,35-39,overall_ethnicity,595.2
1991-01-01,Malaysia,female,30-34,overall_ethnicity,718.1
1991-01-01,Malaysia,female,25-29,overall_ethnicity,805.0
1991-01-01,Malaysia,female,20-24,overall_ethnicity,836.7
1991-01-01,Malaysia,female,15-19,overall_ethnicity,906.4
1991-01-01,Malaysia,female,10-14,overall_ethnicity,993.6
1991-01-01,Malaysia,female,0-4,overall_ethnicity,1213.7
1991-01-01,Malaysia,male,overall_age,other_noncitizen,473.0
1991-01-01,Malaysia,male,overall_age,other_citizen,98.1
1991-01-01,Malaysia,male,overall_age,indian,709.8
1991-01-01,Malaysia,male,overall_age,chinese,2545.0
1991-01-01,Malaysia,male,overall_age,bumi_other,950.4
1991-01-01,Malaysia,male,overall_age,bumi_malay,4640.1
1991-01-01,Malaysia,female,overall_age,other_noncitizen,330.0
1991-01-01,Malaysia,female,overall_age,other_citizen,96.6
1991-01-01,Malaysia,female,overall_age,indian,696.7
1991-01-01,Malaysia,female,overall_age,chinese,2475.9
1991-01-01,Malaysia,female,overall_age,bumi_other,912.2
1991-01-01,Malaysia,female,overall_age,bumi_malay,4619.3
1991-01-01,Malaysia,female,40-44,overall_ethnicity,468.9
1991-01-01,Malaysia,female,45-49,overall_ethnicity,349.9
1991-01-01,Malaysia,female,5-9,overall_ethnicity,1149.8
1991-01-01,Malaysia,female,50-54,overall_ethnicity,299.2
1991-01-01,Malaysia,male,60-64,overall_ethnicity,181.1
1991-01-01,Malaysia,male,55-59,overall_ethnicity,243.3
1991-01-01,Malaysia,male,50-54,overall_ethnicity,311.6
1991-01-01,Malaysia,male,5-9,overall_ethnicity,1213.7
1991-01-01,Malaysia,male,45-49,overall_ethnicity,375.3
1991-01-01,Malaysia,male,40-44,overall_ethnicity,496.7
1991-01-01,Malaysia,male,35-39,overall_ethnicity,619.9
1991-01-01,Malaysia,male,30-34,overall_ethnicity,738.9
1991-01-01,Malaysia,male,25-29,overall_ethnicity,817.8
1991-01-01,Malaysia,overall_sex,55-59,bumi_malay,228.4
1991-01-01,Malaysia,male,20-24,overall_ethnicity,846.9
1991-01-01,Malaysia,male,10-14,overall_ethnicity,1038.7
1991-01-01,Malaysia,male,0-4,overall_ethnicity,1290.4
1991-01-01,Malaysia,female,85+,overall_ethnicity,26.9
1991-01-01,Malaysia,female,80-84,overall_ethnicity,41.2
1991-01-01,Malaysia,female,75-79,overall_ethnicity,56.2
1991-01-01,Malaysia,female,70-74,overall_ethnicity,97.6
1991-01-01,Malaysia,female,65-69,overall_ethnicity,138.9
1991-01-01,Malaysia,female,60-64,overall_ethnicity,189.8
1991-01-01,Malaysia,female,55-59,overall_ethnicity,243.7
1991-01-01,Malaysia,male,15-19,overall_ethnicity,927.0
1991-01-01,Malaysia,overall_sex,50-54,other_noncitizen,18.9
1991-01-01,Malaysia,overall_sex,50-54,other_citizen,5.5
1991-01-01,Malaysia,overall_sex,50-54,indian,44.599999999999994
1991-01-01,Malaysia,female,0-4,chinese,245.9
1991-01-01,Malaysia,female,0-4,bumi_other,137.5
1991-01-01,Malaysia,female,0-4,bumi_malay,696.1
1991-01-01,Malaysia,overall_sex,0-4,bumi_malay,1433.4
1991-01-01,Malaysia,overall_sex,0-4,bumi_other,283.0
1991-01-01,Malaysia,overall_sex,0-4,chinese,510.8
1991-01-01,Malaysia,overall_sex,0-4,indian,169.9
1991-01-01,Malaysia,overall_sex,0-4,other_citizen,33.1
1991-01-01,Malaysia,overall_sex,0-4,other_noncitizen,73.9
1991-01-01,Malaysia,overall_sex,10-14,bumi_malay,1046.1
1991-01-01,Malaysia,overall_sex,10-14,bumi_other,226.2
1991-01-01,Malaysia,overall_sex,10-14,chinese,536.2
1991-01-01,Malaysia,overall_sex,10-14,indian,156.8
1991-01-01,Malaysia,overall_sex,10-14,other_citizen,23.8
1991-01-01,Malaysia,overall_sex,10-14,other_noncitizen,43.2
1991-01-01,Malaysia,overall_sex,15-19,bumi_malay,902.2
1991-01-01,Malaysia,overall_sex,15-19,bumi_other,203.5
1991-01-01,Malaysia,overall_sex,15-19,chinese,491.7
1991-01-01,Malaysia,overall_sex,15-19,indian,140.2
1991-01-01,Malaysia,female,0-4,indian,82.9
1991-01-01,Malaysia,female,0-4,other_citizen,16.0
1991-01-01,Malaysia,female,0-4,other_noncitizen,35.4
1991-01-01,Malaysia,female,10-14,bumi_malay,513.5
1991-01-01,Malaysia,female,25-29,chinese,210.3
1991-01-01,Malaysia,female,25-29,bumi_other,77.9
1991-01-01,Malaysia,female,25-29,bumi_malay,388.2
1991-01-01,Malaysia,female,20-24,other_noncitizen,53.2
1991-01-01,Malaysia,female,20-24,other_citizen,8.0
1991-01-01,Malaysia,female,20-24,indian,64.1
1991-01-01,Malaysia,female,20-24,chinese,206.4
1991-01-01,Malaysia,female,20-24,bumi_other,90.1
1991-01-01,Malaysia,female,20-24,bumi_malay,414.9
1991-01-01,Malaysia,overall_sex,15-19,other_citizen,19.7
1991-01-01,Malaysia,female,15-19,other_noncitizen,33.6
1991-01-01,Malaysia,female,15-19,indian,69.6
1991-01-01,Malaysia,female,15-19,chinese,239.6
1991-01-01,Malaysia,female,15-19,bumi_other,100.1
1991-01-01,Malaysia,female,15-19,bumi_malay,453.5
1991-01-01,Malaysia,female,10-14,other_noncitizen,20.6
1991-01-01,Malaysia,female,10-14,other_citizen,11.7
1991-01-01,Malaysia,female,10-14,indian,77.5
