YEAR,MONTH,Population,GDP,Natural_gas_price,Lockdown,PRCP,TAVG,TMAX,TMIN,New York Monthly Electricity Generation
2001,1,17868000,3490.077,12.47,0,0.97,23.5,32.3,14.8,12622.0
2001,2,17868000,3490.077,11.24,0,1.49,47.1,59.39,15.9,11460.0
2001,3,17868000,3490.077,10.53,0,4.04,26.9,37.0,16.7,12115.0
2001,4,17868000,3533.0,11.43,0,1.81,44.3,59.1,29.6,10734.0
2001,5,17868000,3533.0,13.5,0,2.69,54.6,70.9,38.3,11132.0
2001,6,17868000,3533.0,13.84,0,2.94,63.2,77.2,49.2,13038.0
2001,7,17868000,3532.6733333333336,14.25,0,1.52,63.3,77.7,48.9,13128.0
2001,8,17868000,3532.6733333333336,14.41,0,2.78,66.6,82.3,50.9,14720.0
2001,9,17868000,3532.6733333333336,13.14,0,3.65,55.8,70.2,41.4,11583.0
2001,10,17868000,3553.488333333333,11.57,0,3.27,47.6,61.2,34.0,11420.0
2001,11,17868000,3553.488333333333,11.16,0,2.37,42.3,55.2,29.5,10518.0
2001,12,17868000,3553.488333333333,10.89,0,2.91,47.1,59.39,23.0,11447.0
2002,1,17922000,3594.5,9.35,0,2.04,29.4,38.2,20.7,11538.0
2002,2,17922000,3594.5,8.65,0,2.14,47.1,59.39,17.1,10199.0
2002,3,17922000,3594.5,9.17,0,3.2,32.9,46.0,19.8,10715.0
2002,4,17922000,3629.153333333333,9.34,0,3.95,44.6,58.0,31.2,10114.0
2002,5,17922000,3629.153333333333,9.96,0,6.36,49.4,64.2,34.6,11131.0
2002,6,17922000,3629.153333333333,11.66,0,6.34,63.1,76.7,49.5,12339.0
2002,7,17922000,3661.346666666667,13.04,0,2.22,66.6,80.5,52.8,14116.0
2002,8,17922000,3661.346666666667,13.18,0,2.06,65.2,79.7,50.8,14179.0
2002,9,17922000,3661.346666666667,13.21,0,4.15,60.3,75.7,44.8,12147.0
2002,10,17922000,3687.1443333333336,11.84,0,3.0,44.8,55.8,33.9,11030.0
2002,11,17922000,3687.1443333333336,10.08,0,3.35,36.1,43.8,28.4,10420.0
2002,12,17922000,3687.1443333333336,9.48,0,3.99,47.1,59.39,15.0,11664.0
2003,1,17977000,3724.709666666667,9.63,0,2.5,14.6,24.1,5.0,12117.0
2003,2,17977000,3724.709666666667,9.88,0,1.81,18.3,29.3,7.2,10944.0
2003,3,17977000,3724.709666666667,11.69,0,2.25,47.1,59.39,18.1,11245.0
2003,4,17977000,3770.922,12.22,0,2.75,43.6,58.0,29.2,10151.0
2003,5,17977000,3770.922,12.93,0,3.44,53.1,66.1,40.1,10269.0
2003,6,17977000,3770.922,14.71,0,3.75,60.1,72.7,47.6,11384.0
2003,7,17977000,3855.556333333333,16.01,0,8.44,65.4,78.5,52.2,13222.0
2003,8,17977000,3855.556333333333,16.17,0,7.66,67.7,79.8,55.5,13437.0
2003,9,17977000,3855.556333333333,15.58,0,4.87,58.3,70.9,45.8,11328.0
2003,10,17977000,3924.078,13.01,0,2.92,44.6,57.7,31.5,10850.0
2003,11,17977000,3924.078,12.02,0,3.37,41.9,53.0,30.8,10662.0
2003,12,17977000,3924.078,11.36,0,2.98,29.3,38.7,19.8,12034.0
2004,1,18032000,3974.482333333333,11.41,0,2.48,47.1,59.39,6.7,12969.0
2004,2,18032000,3974.482333333333,11.33,0,0.84,22.1,37.7,6.5,11217.0
2004,3,18032000,3974.482333333333,11.48,0,2.32,36.9,47.0,26.9,11132.0
2004,4,18032000,4037.605,11.51,0,4.41,44.7,56.4,33.0,10094.0
2004,5,18032000,4037.605,13.07,0,8.26,59.8,72.8,46.8,11598.0
2004,6,18032000,4037.605,15.34,0,5.0,61.0,74.0,48.0,12047.0
2004,7,18032000,4101.769,16.29,0,4.5,66.7,77.7,55.6,12891.0
2004,8,18032000,4101.769,16.89,0,6.15,65.3,76.6,53.9,12552.0
2004,9,18032000,4101.769,16.22,0,4.83,62.3,75.5,49.1,11483.0
2004,10,18032000,4175.738,14.41,0,1.6,48.3,60.5,36.2,9911.0
2004,11,18032000,4175.738,13.44,0,2.19,39.7,50.2,29.2,10261.0
2004,12,18032000,4175.738,13.19,0,3.38,28.7,38.5,18.9,11809.0
2005,1,18087000,4255.762,12.8,0,4.19,47.1,59.39,9.6,12644.0
2005,2,18087000,4255.762,12.65,0,1.87,47.1,59.39,9.6,10769.0
2005,3,18087000,4255.762,12.42,0,2.11,26.7,38.1,15.3,11555.0
2005,4,18087000,4307.552000000001,13.45,0,3.2,44.7,60.7,28.7,10513.0
2005,5,18087000,4307.552000000001,14.49,0,1.33,48.5,64.4,32.5,10358.0
2005,6,18087000,4307.552000000001,16.16,0,3.32,66.7,80.7,52.6,13235.0
2005,7,18087000,4380.880666666667,17.62,0,2.05,68.9,83.6,54.2,14735.0
2005,8,18087000,4380.880666666667,18.48,0,4.83,67.7,82.7,52.7,15331.0
2005,9,18087000,4380.880666666667,20.78,0,4.09,60.0,76.3,43.7,13031.0
2005,10,18087000,4441.401333333333,22.24,0,5.09,48.0,58.5,37.4,11364.0
2005,11,18087000,4441.401333333333,20.21,0,4.73,47.1,59.39,29.3,10829.0
