YEAR,MONTH,PRCP,TAVG,TMAX,TMIN
2001,01,0.97,23.5,32.3,14.8
2001,02,1.49,47.1,59.39,15.9
2001,03,4.04,26.9,37.0,16.7
2001,04,1.81,44.3,59.1,29.6
2001,05,2.69,54.6,70.9,38.3
2001,06,2.94,63.2,77.2,49.2
2001,07,1.52,63.3,77.7,48.9
2001,08,2.78,66.6,82.3,50.9
2001,09,3.65,55.8,70.2,41.4
2001,10,3.27,47.6,61.2,34.0
2001,11,2.37,42.3,55.2,29.5
2001,12,2.91,47.1,59.39,23.0
2002,01,2.04,29.4,38.2,20.7
2002,02,2.14,47.1,59.39,17.1
2002,03,3.2,32.9,46.0,19.8
2002,04,3.95,44.6,58.0,31.2
2002,05,6.36,49.4,64.2,34.6
2002,06,6.34,63.1,76.7,49.5
2002,07,2.22,66.6,80.5,52.8
2002,08,2.06,65.2,79.7,50.8
2002,09,4.15,60.3,75.7,44.8
2002,10,3.0,44.8,55.8,33.9
2002,11,3.35,36.1,43.8,28.4
2002,12,3.99,47.1,59.39,15.0
2003,01,2.5,14.6,24.1,5.0
2003,02,1.81,18.3,29.3,7.2
2003,03,2.25,47.1,59.39,18.1
2003,04,2.75,43.6,58.0,29.2
2003,05,3.44,53.1,66.1,40.1
2003,06,3.75,60.1,72.7,47.6
2003,07,8.44,65.4,78.5,52.2
2003,08,7.66,67.7,79.8,55.5
2003,09,4.87,58.3,70.9,45.8
2003,10,2.92,44.6,57.7,31.5
2003,11,3.37,41.9,53.0,30.8
2003,12,2.98,29.3,38.7,19.8
2004,01,2.48,47.1,59.39,6.7
2004,02,0.84,22.1,37.7,6.5
2004,03,2.32,36.9,47.0,26.9
2004,04,4.41,44.7,56.4,33.0
2004,05,8.26,59.8,72.8,46.8
2004,06,5.0,61.0,74.0,48.0
2004,07,4.5,66.7,77.7,55.6
2004,08,6.15,65.3,76.6,53.9
2004,09,4.83,62.3,75.5,49.1
2004,10,1.6,48.3,60.5,36.2
2004,11,2.19,39.7,50.2,29.2
2004,12,3.38,28.7,38.5,18.9
2005,01,4.19,47.1,59.39,9.6
2005,02,1.87,47.1,59.39,9.6
