Year,Month,GDP
2001,1,3490.0769999999998
2001,2,3490.0769999999998
2001,3,3490.0769999999998
2001,4,3533.0
2001,5,3533.0
2001,6,3533.0
2001,7,3532.6733333333336
2001,8,3532.6733333333336
2001,9,3532.6733333333336
2001,10,3553.4883333333332
2001,11,3553.4883333333332
2001,12,3553.4883333333332
2002,1,3594.5
2002,2,3594.5
2002,3,3594.5
2002,4,3629.153333333333
2002,5,3629.153333333333
2002,6,3629.153333333333
2002,7,3661.346666666667
2002,8,3661.346666666667
2002,9,3661.346666666667
2002,10,3687.1443333333336
2002,11,3687.1443333333336
2002,12,3687.1443333333336
2003,1,3724.709666666667
2003,2,3724.709666666667
2003,3,3724.709666666667
2003,4,3770.922
2003,5,3770.922
2003,6,3770.922
2003,7,3855.5563333333334
2003,8,3855.5563333333334
2003,9,3855.5563333333334
2003,10,3924.078
2003,11,3924.078
2003,12,3924.078
2004,1,3974.4823333333334
2004,2,3974.4823333333334
2004,3,3974.4823333333334
2004,4,4037.605
2004,5,4037.605
2004,6,4037.605
2004,7,4101.769
2004,8,4101.769
2004,9,4101.769
2004,10,4175.738
2004,11,4175.738
2004,12,4175.738
2005,1,4255.762
2005,2,4255.762
2005,3,4255.762
2005,4,4307.552000000001
2005,5,4307.552000000001
2005,6,4307.552000000001
2005,7,4380.880666666667
2005,8,4380.880666666667
2005,9,4380.880666666667
2005,10,4441.401333333333
2005,11,4441.401333333333
2005,12,4441.401333333333
2006,1,4533.053333333333
2006,2,4533.053333333333
2006,3,4533.053333333333
2006,4,4584.474666666667
2006,5,4584.474666666667
2006,6,4584.474666666667
2006,7,4623.396
2006,8,4623.396
2006,9,4623.396
2006,10,4679.8533333333335
2006,11,4679.8533333333335
2006,12,4679.8533333333335
2007,1,4738.550333333334
2007,2,4738.550333333334
2007,3,4738.550333333334
2007,4,4800.694
2007,5,4800.694
2007,6,4800.694
2007,7,4854.705666666667
2007,8,4854.705666666667
2007,9,4854.705666666667
2007,10,4905.019333333334
2007,11,4905.019333333334
2007,12,4905.019333333334
2008,1,4902.1793333333335
2008,2,4902.1793333333335
2008,3,4902.1793333333335
2008,4,4955.233666666666
2008,5,4955.233666666666
2008,6,4955.233666666666
2008,7,4966.333
2008,8,4966.333
2008,9,4966.333
2008,10,4869.403
2008,11,4869.403
2008,12,4869.403
2009,1,4810.300666666667
2009,2,4810.300666666667
2009,3,4810.300666666667
2009,4,4793.745333333333
2009,5,4793.745333333333
2009,6,4793.745333333333
2009,7,4816.294
2009,8,4816.294
2009,9,4816.294
2009,10,4883.749666666667
2009,11,4883.749666666667
2009,12,4883.749666666667
2010,1,4921.536666666667
2010,2,4921.536666666667
2010,3,4921.536666666667
2010,4,4993.397666666667
2010,5,4993.397666666667
2010,6,4993.397666666667
2010,7,5047.202333333334
2010,8,5047.202333333334
2010,9,5047.202333333334
2010,10,5103.158
2010,11,5103.158
2010,12,5103.158
2011,1,5117.149333333334
2011,2,5117.149333333334
2011,3,5117.149333333334
2011,4,5185.846333333334
2011,5,5185.846333333334
2011,6,5185.846333333334
2011,7,5215.893333333333
2011,8,5215.893333333333
2011,9,5215.893333333333
2011,10,5280.753
2011,11,5280.753
2011,12,5280.753
2012,1,5356.268333333333
2012,2,5356.268333333333
2012,3,5356.268333333333
2012,4,5402.371666666667
2012,5,5402.371666666667
2012,6,5402.371666666667
2012,7,5439.847
2012,8,5439.847
2012,9,5439.847
2012,10,5473.473000000001
2012,11,5473.473000000001
2012,12,5473.473000000001
2013,1,5549.396333333333
2013,2,5549.396333333333
2013,3,5549.396333333333
2013,4,5576.229
2013,5,5576.229
2013,6,5576.229
2013,7,5651.279333333333
2013,8,5651.279333333333
2013,9,5651.279333333333
2013,10,5730.673
2013,11,5730.673
2013,12,5730.673
2014,1,5732.579333333334
2014,2,5732.579333333334
2014,3,5732.579333333334
2014,4,5839.502666666667
2014,5,5839.502666666667
2014,6,5839.502666666667
2014,7,5934.742666666666
2014,8,5934.742666666666
2014,9,5934.742666666666
2014,10,5970.693
2014,11,5970.693
2014,12,5970.693
2015,1,6021.176333333333
2015,2,6021.176333333333
2015,3,6021.176333333333
2015,4,6093.261333333333
2015,5,6093.261333333333
2015,6,6093.261333333333
2015,7,6133.875333333333
2015,8,6133.875333333333
2015,9,6133.875333333333
2015,10,6145.045666666666
2015,11,6145.045666666666
2015,12,6145.045666666666
2016,1,6175.311000000001
2016,2,6175.311000000001
2016,3,6175.311000000001
2016,4,6237.234
2016,5,6237.234
2016,6,6237.234
2016,7,6297.546333333333
2016,8,6297.546333333333
2016,9,6297.546333333333
2016,10,6363.126333333334
2016,11,6363.126333333334
2016,12,6363.126333333334
2017,1,6426.694666666666
2017,2,6426.694666666666
2017,3,6426.694666666666
2017,4,6479.547666666666
2017,5,6479.547666666666
2017,6,6479.547666666666
2017,7,6564.198333333334
2017,8,6564.198333333334
2017,9,6564.198333333334
2017,10,6679.029333333333
2017,11,6679.029333333333
2017,12,6679.029333333333
2018,1,6776.184333333334
2018,2,6776.184333333334
2018,3,6776.184333333334
2018,4,6860.304
2018,5,6860.304
2018,6,6860.304
2018,7,6932.91
2018,8,6932.91
2018,9,6932.91
2018,10,6972.622333333333
2018,11,6972.622333333333
2018,12,6972.622333333333
2019,1,7034.711
2019,2,7034.711
2019,3,7034.711
2019,4,7128.258333333334
2019,5,7128.258333333334
2019,6,7128.258333333334
2019,7,7231.427333333333
2019,8,7231.427333333333
2019,9,7231.427333333333
2019,10,7300.796666666666
2019,11,7300.796666666666
2019,12,7300.796666666666
2020,1,7235.504333333333
2020,2,7235.504333333333
2020,3,7235.504333333333
2020,4,6637.714333333333
2020,5,6637.714333333333
2020,6,6637.714333333333
2020,7,7215.88
2020,8,7215.88
2020,9,7215.88
2020,10,7341.500666666667
2020,11,7341.500666666667
2020,12,7341.500666666667
2021,1,7533.395
2021,2,7533.395
2021,3,7533.395
2021,4,7764.120666666667
2021,5,7764.120666666667
2021,6,7764.120666666667
2021,7,7942.991000000001
2021,8,7942.991000000001
2021,9,7942.991000000001
2021,10,8218.201
2021,11,8218.201
2021,12,8218.201
2022,1,8343.038666666667
2022,2,8343.038666666667
2022,3,8343.038666666667
2022,4,8514.757666666666
2022,5,8514.757666666666
2022,6,8514.757666666666
2022,7,8664.879666666666
2022,8,8664.879666666666
2022,9,8664.879666666666
