Year,Month,Population
2001,1,"17,868,000"
,2,"17,868,000"
,3,"17,868,000"
,4,"17,868,000"
,5,"17,868,000"
,6,"17,868,000"
,7,"17,868,000"
,8,"17,868,000"
,9,"17,868,000"
,10,"17,868,000"
,11,"17,868,000"
,12,"17,868,000"
2002,1,"17,922,000"
,2,"17,922,000"
,3,"17,922,000"
,4,"17,922,000"
,5,"17,922,000"
,6,"17,922,000"
,7,"17,922,000"
,8,"17,922,000"
,9,"17,922,000"
,10,"17,922,000"
,11,"17,922,000"
,12,"17,922,000"
2003,1,"17,977,000"
,2,"17,977,000"
,3,"17,977,000"
,4,"17,977,000"
,5,"17,977,000"
,6,"17,977,000"
,7,"17,977,000"
,8,"17,977,000"
,9,"17,977,000"
,10,"17,977,000"
,11,"17,977,000"
,12,"17,977,000"
2004,1,"18,032,000"
,2,"18,032,000"
,3,"18,032,000"
,4,"18,032,000"
,5,"18,032,000"
,6,"18,032,000"
,7,"18,032,000"
,8,"18,032,000"
,9,"18,032,000"
,10,"18,032,000"
,11,"18,032,000"
,12,"18,032,000"
2005,1,"18,087,000"
,2,"18,087,000"
,3,"18,087,000"
,4,"18,087,000"
,5,"18,087,000"
,6,"18,087,000"
,7,"18,087,000"
,8,"18,087,000"
,9,"18,087,000"
,10,"18,087,000"
,11,"18,087,000"
,12,"18,087,000"
2006,1,"18,142,000"
,2,"18,142,000"
,3,"18,142,000"
,4,"18,142,000"
,5,"18,142,000"
,6,"18,142,000"
,7,"18,142,000"
,8,"18,142,000"
,9,"18,142,000"
,10,"18,142,000"
,11,"18,142,000"
,12,"18,142,000"
2007,1,"18,198,000"
,2,"18,198,000"
,3,"18,198,000"
,4,"18,198,000"
,5,"18,198,000"
,6,"18,198,000"
,7,"18,198,000"
,8,"18,198,000"
,9,"18,198,000"
,10,"18,198,000"
,11,"18,198,000"
,12,"18,198,000"
2008,1,"18,254,000"
,2,"18,254,000"
,3,"18,254,000"
,4,"18,254,000"
,5,"18,254,000"
,6,"18,254,000"
,7,"18,254,000"
,8,"18,254,000"
,9,"18,254,000"
,10,"18,254,000"
,11,"18,254,000"
,12,"18,254,000"
2009,1,"18,309,000"
,2,"18,309,000"
,3,"18,309,000"
,4,"18,309,000"
,5,"18,309,000"
,6,"18,309,000"
,7,"18,309,000"
,8,"18,309,000"
,9,"18,309,000"
,10,"18,309,000"
,11,"18,309,000"
,12,"18,309,000"
2010,1,"18,365,000"
,2,"18,365,000"
,3,"18,365,000"
,4,"18,365,000"
,5,"18,365,000"
,6,"18,365,000"
,7,"18,365,000"
,8,"18,365,000"
,9,"18,365,000"
,10,"18,365,000"
,11,"18,365,000"
,12,"18,365,000"
2011,1,"18,421,000"
,2,"18,421,000"
,3,"18,421,000"
,4,"18,421,000"
,5,"18,421,000"
,6,"18,421,000"
,7,"18,421,000"
,8,"18,421,000"
,9,"18,421,000"
,10,"18,421,000"
,11,"18,421,000"
,12,"18,421,000"
2012,1,"18,478,000"
,2,"18,478,000"
,3,"18,478,000"
,4,"18,478,000"
,5,"18,478,000"
,6,"18,478,000"
,7,"18,478,000"
,8,"18,478,000"
,9,"18,478,000"
,10,"18,478,000"
,11,"18,478,000"
,12,"18,478,000"
2013,1,"18,534,000"
,2,"18,534,000"
,3,"18,534,000"
,4,"18,534,000"
,5,"18,534,000"
,6,"18,534,000"
,7,"18,534,000"
,8,"18,534,000"
,9,"18,534,000"
,10,"18,534,000"
,11,"18,534,000"
,12,"18,534,000"
2014,1,"18,591,000"
,2,"18,591,000"
,3,"18,591,000"
,4,"18,591,000"
,5,"18,591,000"
,6,"18,591,000"
,7,"18,591,000"
,8,"18,591,000"
,9,"18,591,000"
,10,"18,591,000"
,11,"18,591,000"
,12,"18,591,000"
2015,1,"18,648,000"
,2,"18,648,000"
,3,"18,648,000"
,4,"18,648,000"
,5,"18,648,000"
,6,"18,648,000"
,7,"18,648,000"
,8,"18,648,000"
,9,"18,648,000"
,10,"18,648,000"
,11,"18,648,000"
,12,"18,648,000"
2016,1,"18,705,000"
,2,"18,705,000"
,3,"18,705,000"
,4,"18,705,000"
,5,"18,705,000"
,6,"18,705,000"
,7,"18,705,000"
,8,"18,705,000"
,9,"18,705,000"
,10,"18,705,000"
,11,"18,705,000"
,12,"18,705,000"
2017,1,"18,762,000"
,2,"18,762,000"
,3,"18,762,000"
,4,"18,762,000"
,5,"18,762,000"
,6,"18,762,000"
,7,"18,762,000"
,8,"18,762,000"
,9,"18,762,000"
,10,"18,762,000"
,11,"18,762,000"
,12,"18,762,000"
2018,1,"18,819,000"
,2,"18,819,000"
,3,"18,819,000"
,4,"18,819,000"
,5,"18,819,000"
,6,"18,819,000"
,7,"18,819,000"
,8,"18,819,000"
,9,"18,819,000"
,10,"18,819,000"
,11,"18,819,000"
,12,"18,819,000"
2019,1,"18,805,000"
,2,"18,805,000"
,3,"18,805,000"
,4,"18,805,000"
,5,"18,805,000"
,6,"18,805,000"
,7,"18,805,000"
,8,"18,805,000"
,9,"18,805,000"
,10,"18,805,000"
,11,"18,805,000"
,12,"18,805,000"
2020,1,"18,804,000"
,2,"18,804,000"
,3,"18,804,000"
,4,"18,804,000"
,5,"18,804,000"
,6,"18,804,000"
,7,"18,804,000"
,8,"18,804,000"
,9,"18,804,000"
